1,80,27,0.002
2,90,32,0.004
3,100,38,0.006
4,110,43,0.008
5,120,49,0.01
6,130,54,0.013
7,140,60,0.016
8,150,66,0.018
9,160,71,0.022
10,170,77,0.025
11,190,88,0.033
12,212,100,0.04
