id,recipe_id,batch_size,extraction_efficiency,user_id
300,390,5.0,73.5,19
303,393,1.0,73.5,1
169,250,5.0,73.5,1
170,251,6.0,73.5,1
176,257,5.0,73.5,1
184,265,5.0,73.5,19
240,321,5.0,73.5,19
166,247,5.0,73.5,1
167,248,5.0,73.5,1
168,249,5.0,73.5,1
251,340,5.0,73.5,1
255,344,5.0,73.5,22
257,346,5.0,73.5,22
261,350,5.0,67.0,19
