id,recipe_id,init_grain_temp,sacc_rest_temp,mash_duration,mash_thickness,user_id
175,250,70.0,150.0,60,1.25,1
176,251,70.0,150.0,60,1.25,1
182,257,70.0,149.0,60,1.25,1
190,265,70.0,150.0,60,1.471,19
246,321,70.0,151.0,60,1.471,19
172,247,70.0,150.0,60,1.25,1
173,248,70.0,150.0,60,1.25,1
174,249,70.0,150.0,60,1.25,1
304,390,70.0,153.0,90,1.25,19
307,393,70.0,150.0,60,1.25,1
257,340,70.0,150.0,60,1.25,1
261,344,70.0,149.0,90,1.25,22
263,346,70.0,150.0,60,1.25,22
267,350,70.0,150.0,60,1.25,19
